keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
해제,0.0005696164533482979,0.0011104057387135852,0.0005407892853652872,12.5191522658689,26.59678906219781,13.543815159571084,cumulative_reconfiguration,0.0011104057387135852
하이닉스,-0.00014002439519711796,0.0011023333738810037,0.0012423577690781216,-0.5258002928689178,28.216067895778792,28.69423432353686,pre_existing_government_change,0.0011023333738810037
포스트,0.001052988657223306,0.0010966750607910932,4.368640356778729e-05,29.153708661650622,31.467652042488574,0.4428666978907064,cumulative_reconfiguration,0.0010966750607910932
선별,0.0010555663813609944,0.0010903240981947385,3.4757716833744116e-05,28.670172730585097,31.66998728270482,1.2327997875619614,cumulative_reconfiguration,0.0010903240981947385
검찰청,0.0007357129290443867,0.0010861568364648815,0.00035044390742049484,17.113332095477336,31.297706951159935,13.974979531251318,cumulative_reconfiguration,0.0010861568364648815
격차,0.0007242118029433804,0.0010746387218562932,0.0003504269189129128,14.60823129885318,23.007442114655067,7.686842268450053,cumulative_reconfiguration,0.0010746387218562932
박용진,0.0006995940934506218,0.0010625765250183885,0.0003629824315677668,11.202934661694442,35.522053391079666,25.1692658049163,cumulative_reconfiguration,0.0010625765250183885
택배,0.0008415987750862716,0.0010514911291500772,0.00020989235406380555,25.6990746099477,36.07308464453926,9.6307046067342,cumulative_reconfiguration,0.0010514911291500772
수급,0.000802208189353602,0.0010399258599918144,0.00023771767063821253,18.62924340463321,26.258207140163897,6.752795214273142,cumulative_reconfiguration,0.0010399258599918144
반등,0.0006918439638962311,0.001039727554386302,0.0003478835904900708,17.047712001930652,30.13182887167349,12.784506467857428,cumulative_reconfiguration,0.001039727554386302
제보,0.00044614482294900114,0.0010328621906904682,0.0005867173677414671,3.973654653971241,23.27593314918929,19.15466320073205,pre_existing_government_change,0.0010328621906904682
인스타그램,0.00032461036817143206,0.0010306016678263996,0.0007059912996549675,9.349605185075813,32.363281958299055,23.45010777495203,pre_existing_government_change,0.0010306016678263996
유입,0.0009292886129127903,0.0010268675819823296,9.757896906953932e-05,23.15336775398658,27.53132805398398,3.138293904097011,cumulative_reconfiguration,0.0010268675819823296
비트코인,0.000431732318415245,0.0010258869294524748,0.0005941546110372298,10.509522244199829,37.90857816482341,28.21035568609049,pre_existing_government_change,0.0010258869294524748
집무실,0.0006985221695380206,0.0010156258926639114,0.00031710372312589077,20.855851836200287,33.209256816134314,11.981541692275414,cumulative_reconfiguration,0.0010156258926639114
법사위,0.0008913268031458721,0.0010128112301662387,0.0001214844270203666,20.252649235066578,31.06668698911845,10.183417564413274,cumulative_reconfiguration,0.0010128112301662387
거래소,0.000311286204621808,0.0010096245718402238,0.0006983383672184157,6.076870685207433,35.356123123980986,29.295466002425357,pre_existing_government_change,0.0010096245718402238
기후변화,0.0009242135371107628,0.0009958294052971925,7.161586818642967e-05,22.363771880322528,27.138379945306617,3.5973924658401986,cumulative_reconfiguration,0.0009958294052971925
물류,0.0008291903622512982,0.0009931374414863456,0.00016394707923504746,23.267180293064182,29.11209849385714,4.665870945093205,cumulative_reconfiguration,0.0009931374414863456
