comparison,interpretation,keyword,period_a,period_b,count_a,count_b,log_odds_z_b_vs_a,direction,abs_log_odds_z,rank_abs_z
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,정은경,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,146,5456,40.08932303380179,moon_post_covid_2020_2022,40.08932303380179,78.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,소득주도성장,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,7963,1261,-40.083143259355026,moon_pre_covid_2017_2019,40.083143259355026,79.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,윤호중,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,825,7109,40.05901654695402,moon_post_covid_2020_2022,40.05901654695402,80.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,공무원,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,87065,119259,40.00755845433103,moon_post_covid_2020_2022,40.00755845433103,81.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,라임,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,308,5850,39.973187875166644,moon_post_covid_2020_2022,39.973187875166644,82.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,평창올림픽,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5896,383,-39.72944338731461,moon_pre_covid_2017_2019,39.72944338731461,83.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,방역수칙,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,4,4962,39.681271692046096,moon_post_covid_2020_2022,39.681271692046096,84.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,감사원장,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,733,6779,39.59602322670238,moon_post_covid_2020_2022,39.59602322670238,85.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,인플레이션,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1623,8579,39.20256023708115,moon_post_covid_2020_2022,39.20256023708115,86.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,보궐선거,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1392,8100,39.17381538527856,moon_post_covid_2020_2022,39.17381538527856,87.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,의료진,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,4354,13534,39.1569703632773,moon_post_covid_2020_2022,39.1569703632773,88.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,카풀,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5680,372,-38.96433181331999,moon_pre_covid_2017_2019,38.96433181331999,89.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,언택트,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,108,5060,38.910013497856085,moon_post_covid_2020_2022,38.910013497856085,90.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,사면,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2574,10304,38.82660951857223,moon_post_covid_2020_2022,38.82660951857223,91.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,접종자,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,6,4724,38.69230626579446,moon_post_covid_2020_2022,38.69230626579446,92.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,전염병,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1250,7638,38.541875015432424,moon_post_covid_2020_2022,38.541875015432424,93.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,중대본,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,187,5180,38.53627617435507,moon_post_covid_2020_2022,38.53627617435507,94.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,김상조,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,9323,2174,-38.438640012462436,moon_pre_covid_2017_2019,38.438640012462436,95.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,진전,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,18030,7465,-38.42381221483258,moon_pre_covid_2017_2019,38.42381221483258,96.0
