단어,log_odds_z,강화_정부
조명균,21.775939485318858,문재인정부
기재부,21.769413392140827,문재인정부
빅히트,21.768215773387578,문재인정부
이노베이션,21.766438133981634,문재인정부
입당,21.764971148910586,문재인정부
토스,21.760859280420622,문재인정부
부통령,21.745800392812537,문재인정부
송치,21.742410495441305,문재인정부
자치경찰제,21.742148935952137,문재인정부
고검장,21.734414755122835,문재인정부
언론중재법,21.706289974269033,문재인정부
번방,21.6944335361526,문재인정부
킥보드,21.68857825334912,문재인정부
카카오페이,21.66895221326604,문재인정부
포용,21.656585417337165,문재인정부
자율,21.652635750953948,문재인정부
접종률,21.63360771419013,문재인정부
메타,21.61420756805046,문재인정부
집계,21.59507315341536,문재인정부
크리에이터,21.58617518117321,문재인정부
지휘,21.544648423984146,문재인정부
인플루언서,21.543343961625386,문재인정부
천은미,21.54087069847826,문재인정부
촛불혁명,21.519568948416126,문재인정부
생활치료센터,21.50733758113104,문재인정부
물가,21.49944400085764,문재인정부
부산시장,21.495283054947194,문재인정부
가상자산,21.490206638393953,문재인정부
중수청,21.460194586457863,문재인정부
한덕수,21.457293764029004,문재인정부
심재철,21.4331658978318,문재인정부
더불어시민당,21.41724727997931,문재인정부
전략,21.401460837817275,문재인정부
위성정당,21.378520945191735,문재인정부
매수,21.3762340105607,문재인정부
저감,21.375903031466127,문재인정부
중앙방역대책본부,21.3570686736179,문재인정부
수사관,21.330995196583796,문재인정부
이더리움,21.326157682913323,문재인정부
초선,21.323390289932956,문재인정부
오거돈,21.29280573621451,문재인정부
직권남용,21.240769362423787,문재인정부
조정대상지역,21.239646437125934,문재인정부
대선후보,21.23455568621554,문재인정부
전파력,21.229335150717542,문재인정부
상용,21.223124453726907,문재인정부
침공,21.219695667271044,문재인정부
보수통합,21.21161913446982,문재인정부
비위,21.204755457168844,문재인정부
동영,21.14859784860328,문재인정부
베이조스,21.127248699291954,문재인정부
반려동물,21.12343285092893,문재인정부
로이터통신,21.117835699402118,문재인정부
키트,21.096917328671033,문재인정부
챗봇,21.07827778320144,문재인정부
토지,21.068536099547792,문재인정부
재생,21.059029539304277,문재인정부
제약사,21.044570419474322,문재인정부
최진,21.03507295392573,문재인정부
성윤모,21.0004326637497,문재인정부
한국토지주택공사,20.948708268418244,문재인정부
카카오모빌리티,20.943411274004553,문재인정부
사립유치원,20.93566293818623,문재인정부
논란,20.929823903307852,문재인정부
기지국,20.910880645248053,문재인정부
김태우,20.881841198133177,문재인정부
장혜영,20.879335980503402,문재인정부
엔비디아,20.877133357284265,문재인정부
가상통화,20.84807395483457,문재인정부
태양광,20.820592661033203,문재인정부
게이밍,20.813586973727382,문재인정부
자막뉴스,20.801569521311002,문재인정부
박원곤,20.801139403480903,문재인정부
분리,20.796438222834368,문재인정부
펭수,20.753509925496136,문재인정부
특별공급,20.74843607463571,문재인정부
비판,20.732325540301268,문재인정부
장원석,20.70040578090423,문재인정부
허가,20.68419142541018,문재인정부
중앙재난안전대책본부,20.67664989541315,문재인정부
대면,20.674856104416307,문재인정부
고도화,20.671060305875212,문재인정부
폭등,20.66010533806073,문재인정부
선별진료소,20.6428750542376,문재인정부
취업자,20.637945649836748,문재인정부
지역화폐,20.616163750379542,문재인정부
펠로시,20.57762806980489,문재인정부
메가시티,20.56581157030713,문재인정부
무역협상,20.5392064960978,문재인정부
국민소통수석,20.521514640280447,문재인정부
생생경제,20.50111293167393,문재인정부
오차범위,20.487012136002924,문재인정부
동선,20.480499764086122,문재인정부
예술단,20.466618171001343,문재인정부
명대,20.450877667335803,문재인정부
교인,20.445544204841212,문재인정부
쏘카,20.437686737286608,문재인정부
역학조사,20.43245504635917,문재인정부
대담,20.431310559197424,문재인정부
김진욱,20.42668159851705,문재인정부
보건소,20.410592551236736,문재인정부
이대남,20.408113193561487,문재인정부
포렌식,20.377452080610446,문재인정부
꼰대,20.37371359780699,문재인정부
무주택자,20.331264995763263,문재인정부
등락률,20.3249564570485,문재인정부
김광삼,20.322088478993198,문재인정부
류호정,20.310409513414964,문재인정부
노바백스,20.309546837017297,문재인정부
웜비어,20.295503000691816,문재인정부
백신을,20.247616999000503,문재인정부
김형준,20.246582928552197,문재인정부
테이퍼링,20.23894553682194,문재인정부
미접종자,20.23233080380864,문재인정부
혐오,20.22786447512567,문재인정부
선별,20.21434138874486,문재인정부
실증,20.210394655315927,문재인정부
규제혁신,20.18119397966534,문재인정부
연락,20.167431597467566,문재인정부
국민의힘은,20.16395347673679,문재인정부
박병석,20.15109323298937,문재인정부
국채,20.14867421425228,문재인정부
양육비,20.13966895819267,문재인정부
김종민,20.13574233341763,문재인정부
노무현재단,20.13075677447691,문재인정부
정치보복,20.1248050012798,문재인정부
백신접종,20.122515672347625,문재인정부
노위,20.082750943042157,문재인정부
방대본,20.077007922341895,문재인정부
증여,20.058573147586518,문재인정부
증강현실,20.047755754174798,문재인정부
산업혁명,20.04321959088171,문재인정부
증원,20.035393506353895,문재인정부
전원회의,20.020785495045008,문재인정부
대미,20.01648996567082,문재인정부
수석대변인,20.0162830418854,문재인정부
조남관,19.99195583269478,문재인정부
문건,19.989709057917384,문재인정부
남불,19.973995191225818,문재인정부
불공정,19.961262062500694,문재인정부
임상시험,19.94213228068704,문재인정부
공공,19.93605721186548,문재인정부
신라젠,19.92677431443593,문재인정부
시총,19.89767443366532,문재인정부
연동형,19.89181223359193,문재인정부
백순영,19.87397188114051,문재인정부
페이스북에,19.864245030979635,문재인정부
예약,19.86300679551471,문재인정부
제조,19.85059351099074,문재인정부
취약계층,19.84203270217308,문재인정부
이스타항공,19.82843432312849,문재인정부
트로트,19.818139182816342,문재인정부
선거제,19.80981079357619,문재인정부
공모,19.800182726792347,문재인정부
집단면역,19.788751681980933,문재인정부
분양가상한제,19.7660209295391,문재인정부
포스트,19.76297311613685,문재인정부
물류,19.756534873853962,문재인정부
발열,19.750725463107862,문재인정부
폭염,19.750274524828264,문재인정부
석탄,19.728918879474055,문재인정부
김정아,19.721861808084046,문재인정부
성착취,19.71615054661561,문재인정부
블랙핑크,19.711629747912013,문재인정부
김현종,19.69816630779576,문재인정부
인사이트,19.683450536019684,문재인정부
박찬주,19.678729269399327,문재인정부
중재법,19.676181007190714,문재인정부
부위원장,19.674364456264737,문재인정부
재확산,19.63370764036464,문재인정부
풍계리,19.633335186034483,문재인정부
승재현,19.632823433775282,문재인정부
양형,19.620023188241838,문재인정부
이재윤,19.615440654633463,문재인정부
유영민,19.61364756699776,문재인정부
최욱,19.613263767519335,문재인정부
인보사,19.610057590149246,문재인정부
박성중,19.594522704342648,문재인정부
키움,19.592331085163604,문재인정부
충전,19.57791296353398,문재인정부
자치경찰,19.561738420557507,문재인정부
장예찬,19.541833612244382,문재인정부
일론,19.528849852339626,문재인정부
카카오게임즈,19.500214892394105,문재인정부
사주,19.49078538237335,문재인정부
라이브,19.490486915526994,문재인정부
페트병,19.47998812497086,문재인정부
김두관,19.476921083041557,문재인정부
경제사회노동위원회,19.47170544350992,문재인정부
추은호,19.453151776734646,문재인정부
로이터,19.43026001051627,문재인정부
보이콧,19.429482971112517,문재인정부
바이오팜,19.425219620615763,문재인정부
종사자,19.41938754506309,문재인정부
박상연,19.414866284307905,문재인정부
박지훈,19.41279682721019,문재인정부
