단어,log_odds_z,강화_정부
발열,19.798882218439253,문재인정부
부위원장,19.781655090045156,문재인정부
김정아,19.757944922037936,문재인정부
성착취,19.745926649159166,문재인정부
블랙핑크,19.741679912252266,문재인정부
김현종,19.733859581294933,문재인정부
인사이트,19.724034153815875,문재인정부
박찬주,19.708594729917042,문재인정부
중재법,19.707554330714835,문재인정부
풍계리,19.680250855711996,문재인정부
양형,19.67588864168637,문재인정부
재확산,19.66260849939991,문재인정부
승재현,19.661271115098106,문재인정부
충전,19.656262448124362,문재인정부
이재윤,19.65045365564533,문재인정부
유영민,19.643598754833267,문재인정부
최욱,19.642933559353153,문재인정부
인보사,19.638662717198226,문재인정부
박성중,19.624962723195527,문재인정부
키움,19.624041065789623,문재인정부
자치경찰,19.592134405211254,문재인정부
장예찬,19.570227410655097,문재인정부
일론,19.56688989938799,문재인정부
라이브,19.55570311924429,문재인정부
사주,19.546786235015738,문재인정부
카카오게임즈,19.52851086555701,문재인정부
김두관,19.521989138005658,문재인정부
페트병,19.517593934873894,문재인정부
종사자,19.516606455563995,문재인정부
경제사회노동위원회,19.499767302031888,문재인정부
추은호,19.499727603138655,문재인정부
전파,19.496948409548004,문재인정부
보이콧,19.49162792012384,문재인정부
로이터,19.486702144260143,문재인정부
바이오팜,19.45674468467898,문재인정부
박지훈,19.45611022913154,문재인정부
박상연,19.445301928232418,문재인정부
민정,19.37909207435583,문재인정부
굿즈,19.377217842964054,문재인정부
연합훈련,19.36895479678939,문재인정부
더불어민주당이,19.367397391508373,문재인정부
근무,19.362218174989014,문재인정부
새로운보수당,19.328542868577323,문재인정부
코드,19.318707762749913,문재인정부
상향,19.316880983074668,문재인정부
고령층,19.315886906348315,문재인정부
감소세,19.303057797459605,문재인정부
미나리,19.28957533872677,문재인정부
협약,19.28200498372787,문재인정부
홍익표,19.252551286361502,문재인정부
손영래,19.250647285168082,문재인정부
청년,19.23947941759903,문재인정부
윤여정,19.22447877051882,문재인정부
배민,19.220096122425094,문재인정부
허은아,19.187798450772707,문재인정부
다중이용시설,19.173936483280116,문재인정부
유공자,19.173744294922045,문재인정부
스트리밍,19.14033752536296,문재인정부
고용,19.131350845458353,문재인정부
요양병원,19.12938088834024,문재인정부
선제적,19.104546182008537,문재인정부
우원식,19.09404202563452,문재인정부
게시판,19.093716913883984,문재인정부
검체,19.083948251312776,문재인정부
이동통신,19.0703937439599,문재인정부
강제징용,19.06884281383339,문재인정부
이정은,19.061591464489464,문재인정부
임은정,19.059211096558375,문재인정부
역세권,19.059079386764573,문재인정부
취재진,19.057911669200987,문재인정부
강효상,19.057739565884066,문재인정부
김경우,19.057014946459088,문재인정부
매크로,19.040314690342267,문재인정부
툰베리,19.039747588390128,문재인정부
자율주행차,19.03322527226842,문재인정부
렘데시비르,19.030045605920225,문재인정부
임차인,19.007294208032405,문재인정부
발사대,19.005744754879707,문재인정부
김부겸,18.996415213427582,문재인정부
일각,18.996057399850006,문재인정부
수급,18.98360931753719,문재인정부
글중심,18.98146131531647,문재인정부
심의위,18.974768428954338,문재인정부
나스닥,18.97085322432246,문재인정부
안태근,18.959138521661924,문재인정부
이상반응,18.957968687817058,문재인정부
의약품,18.95056425585494,문재인정부
만찬,18.942611406054223,문재인정부
노트북,18.937739437666377,문재인정부
노딜,18.922995525498735,문재인정부
송병기,18.92150357429156,문재인정부
이종훈,18.92107594393239,문재인정부
전일,18.913418882305116,문재인정부
경증,18.908773526010556,문재인정부
소부장,18.903466748538282,문재인정부
택시업계,18.895681545229753,문재인정부
재활용,18.89566089126951,문재인정부
셀트리온헬스케어,18.895535004902015,문재인정부
전원책,18.884697554551177,문재인정부
출금,18.874984429457722,문재인정부
살충제,18.849174623337774,문재인정부
팬덤,18.845906559247997,문재인정부
전재수,18.827149061148805,문재인정부
뉴스쇼,18.821937117809572,문재인정부
극초,18.815563950270654,문재인정부
파우치,18.80065584917033,문재인정부
정세진,18.79790707899487,문재인정부
패럴림픽,18.794999886360888,문재인정부
옵션,18.787414653391775,문재인정부
케이뱅크,18.779891777469924,문재인정부
불화수소,18.779458628431158,문재인정부
울산시장,18.758593976497973,문재인정부
중대재해처벌법,18.751429198641624,문재인정부
자유한국당이,18.721538908704794,문재인정부
사전청약,18.711579738011405,문재인정부
조선일보,18.702195765486522,문재인정부
넷마블,18.698394526386174,문재인정부
주영진의,18.690911522457196,문재인정부
손실보상,18.68442087217855,문재인정부
송환법,18.66752810120108,문재인정부
